period,air_temperature,dewpoint
171,5.8,1.1
172,5.75,1.35
173,5.7,1.6
174,5.45,1.7
175,5.2,1.8
176,5.35,2.15
177,5.5,2.5
178,5.8,2.7
179,6.1,2.9
180,6.15,2.95
181,6.2,3.0
182,5.85,3.05
183,5.5,3.1
184,4.65,2.75
185,3.8,2.4
186,5.05,3.2
187,6.3,4.0
188,6.5,3.65
189,6.7,3.3
190,6.8,3.55
191,6.9,3.8
192,7.05,4.1
193,7.2,4.4
194,7.15,4.35
195,7.1,4.3
196,7.05,4.25
197,7.0,4.2
198,5.9,3.4
199,4.8,2.6
200,4.3,2.8
201,3.8,3.0
202,4.95,3.65
203,6.1,4.3
204,7.1,5.15
205,8.1,6.0
206,8.6,6.2
207,9.1,6.4
208,9.2,6.35
209,9.3,6.3
210,9.4,6.4
211,9.5,6.5
212,9.55,6.6
213,9.6,6.7
214,9.95,6.8
215,10.3,6.9
216,10.35,6.9
217,10.4,6.9
218,10.65,7.0
219,10.9,7.1
220,10.85,7.25
221,10.8,7.4
222,10.95,7.2
223,11.1,7.0
224,10.95,6.85
225,10.8,6.7
226,10.4,6.6
227,10.0,6.5
228,9.75,6.75
229,9.5,7.0
230,9.7,6.95
231,9.9,6.9
232,9.9,6.8
233,9.9,6.7
234,10.05,6.75
235,10.2,6.8
236,10.3,6.7
237,10.4,6.6
238,10.15,6.55
239,9.9,6.5
240,9.95,6.45
241,10.0,6.4
242,9.85,6.25
243,9.7,6.1
244,9.7,6.15
245,9.7,6.2
246,9.8,6.3
247,9.9,6.4
248,9.85,6.4
249,9.8,6.4
250,9.9,6.35
251,10.0,6.3
252,9.55,6.1
253,9.1,5.9
254,9.0,6.0
255,8.9,6.1
256,7.85,5.3
257,6.8,4.5
258,5.95,4.05
259,5.1,3.6
260,4.95,3.5
261,4.8,3.4
262,5.0,3.4
263,5.2,3.4
264,5.8,3.2
265,6.4,3.0
266,6.35,2.35
267,6.3,1.7
268,6.2,1.7
269,6.1,1.7
270,5.9,1.85
271,5.7,2.0
272,5.15,2.2
273,4.6,2.4
274,4.65,2.0
275,4.7,1.6
276,4.2,1.5
277,3.7,1.4
278,3.95,1.45
279,4.2,1.5
280,4.2,1.4
281,4.2,1.3
282,4.1,1.6
283,4.0,1.9
284,4.3,1.8
285,4.6,1.7
286,4.4,1.3
287,4.2,0.9
288,4.4,0.9
289,4.6,0.9
290,4.8,1.1
291,5.0,1.3
292,5.35,1.75
293,5.7,2.2
294,6.3,2.65
295,6.9,3.1
296,7.2,3.3
297,7.5,3.5
298,7.85,3.55
299,8.2,3.6
300,8.3,3.5
301,8.4,3.4
302,8.35,3.6
303,8.3,3.8
304,8.3,4.1
305,8.3,4.4
306,8.75,4.7
307,9.2,5.0
308,9.55,5.25
309,9.9,5.5
310,10.1,5.8
311,10.3,6.1
312,10.55,6.15
313,10.8,6.2
314,10.7,6.5
315,10.6,6.8
316,10.6,7.2
317,10.6,7.6
318,10.7,7.8
319,10.8,8.0
320,10.9,8.05
321,11.0,8.1
322,11.15,8.4
323,11.3,8.7
324,11.65,8.8
325,12.0,8.9
326,10.55,8.15
327,9.1,7.4
328,9.15,6.7
329,9.2,6.0
330,9.0,5.6
331,8.8,5.2
332,7.85,4.2
333,6.9,3.2
334,6.7,3.0
335,6.5,2.8
336,6.55,2.7
337,6.6,2.6
338,6.75,2.85
339,6.9,3.1
340,6.35,2.6
341,5.8,2.1
342,5.75,2.6
343,5.7,3.1
344,5.8,2.8
345,5.9,2.5
346,5.5,2.65
347,5.1,2.8
348,5.2,2.85
349,5.3,2.9
350,5.05,2.95
351,4.8,3.0
352,4.35,2.75
353,3.9,2.5
354,3.9,2.35
355,3.9,2.2
356,4.5,1.95
357,5.1,1.7
358,5.1,1.6
359,5.1,1.5
360,4.55,2.0
361,4.0,2.5
362,4.6,2.1
363,5.2,1.7
364,5.7,1.55
365,6.2,1.4
366,5.55,1.0
367,4.9,0.6
368,4.7,0.45
369,4.5,0.3
370,4.4,0.25
371,4.3,0.2
372,4.2,0.7
373,4.1,1.2
374,4.7,1.2
375,5.3,1.2
376,5.3,0.6
377,5.3,0.0
378,5.2,0.85
379,5.1,1.7
380,4.4,1.95
381,3.7,2.2
382,4.6,2.95
383,5.5,3.7
384,6.65,4.35
385,7.8,5.0
386,8.2,5.65
387,8.6,6.3
388,8.15,4.45
389,7.7,2.6
390,7.85,2.3
391,8.0,2.0
392,8.05,1.75
393,8.1,1.5
394,7.75,1.95
395,7.4,2.4
396,7.35,1.9
397,7.3,1.4
398,7.65,0.2
399,8.0,-1.0
400,7.85,-0.7
401,7.7,-0.4
402,7.7,0.05
403,7.7,0.5
404,7.75,0.0
405,7.8,-0.5
406,8.0,0.2
407,8.2,0.9
408,8.15,1.2
409,8.1,1.5
410,7.6,2.8
411,7.1,4.1
412,6.7,4.05
413,6.3,4.0
414,5.65,3.45
415,5.0,2.9
416,5.0,3.25
417,5.0,3.6
418,5.05,3.8
419,5.1,4.0
420,5.3,4.55
421,5.5,5.1
422,8.75,8.2
423,12.0,11.3
424,12.45,10.9
425,12.9,10.5
426,12.85,10.35
427,12.8,10.2
428,12.5,10.4
429,12.2,10.6
430,12.15,10.6
431,12.1,10.6
432,12.15,10.7
433,12.2,10.8
434,12.2,10.75
435,12.2,10.7
436,12.45,10.55
437,12.7,10.4
438,12.75,10.35
439,12.8,10.3
440,12.05,9.75
441,11.3,9.2
442,10.35,7.3
443,9.4,5.4
444,8.95,3.3
445,8.5,1.2
446,7.7,1.75
447,6.9,2.3
448,6.2,1.4
449,5.5,0.5
450,4.8,0.25
451,4.1,0.0
452,4.55,-1.45
453,5.0,-2.9
454,4.6,-2.15
455,4.2,-1.4
456,3.6,-0.9
457,3.0,-0.4
458,3.2,-0.6
459,3.4,-0.8
460,3.55,-0.95
461,3.7,-1.1
462,2.7,-0.6
463,1.7,-0.1
464,1.9,-0.1
465,2.1,-0.1
466,2.3,-0.55
467,2.5,-1.0
468,1.95,-0.45
469,1.4,0.1
470,1.5,0.25
471,1.6,0.4
472,2.0,0.15
473,2.4,-0.1
474,2.15,0.15
475,1.9,0.4
476,1.7,0.45
477,1.5,0.5
478,1.6,0.35
479,1.7,0.2
480,1.85,0.25
481,2.0,0.3
482,2.1,0.1
483,2.2,-0.1
484,2.25,-0.35
485,2.3,-0.6
486,2.2,-0.2
487,2.1,0.2
488,1.85,0.2
489,1.6,0.2
490,1.85,0.0
491,2.1,-0.2
492,2.15,-0.15
493,2.2,-0.1
494,2.45,0.0
495,2.7,0.1
496,3.15,0.3
497,3.6,0.5
498,3.7,0.7
499,3.8,0.9
500,3.45,1.15
501,3.1,1.4
502,2.65,1.35
503,2.2,1.3
504,2.5,1.65
505,2.8,2.0
506,3.55,2.65
507,4.3,3.3
508,4.5,3.35
509,4.7,3.4
510,5.1,3.5
511,5.5,3.6
512,5.85,3.95
513,6.2,4.3
514,6.35,4.6
515,6.5,4.9
516,6.7,4.85
517,6.9,4.8
518,7.05,4.75
519,7.2,4.7
520,7.25,4.35
521,7.3,4.0
522,7.3,3.75
523,7.3,3.5
524,7.25,3.2
525,7.2,2.9
526,7.35,2.95
527,7.5,3.0
528,7.5,3.3
529,7.5,3.6
530,7.7,3.6
531,7.9,3.6
532,7.85,3.85
533,7.8,4.1
534,7.65,4.25
535,7.5,4.4
536,7.55,4.3
537,7.6,4.2
538,7.85,4.55
539,8.1,4.9
540,8.7,5.15
541,9.3,5.4
542,9.2,6.1
543,9.1,6.8
544,8.65,4.5
545,8.2,2.2
546,7.25,2.55
547,6.3,2.9
548,5.7,2.45
549,5.1,2.0
550,5.2,1.35
551,5.3,0.7
552,5.45,0.85
553,5.6,1.0
554,5.2,1.05
555,4.8,1.1
556,3.95,1.4
557,3.1,1.7
558,3.45,1.3
559,3.8,0.9
560,3.75,0.6
561,3.7,0.3
562,3.5,-0.15
563,3.3,-0.6
564,3.6,-0.85
565,3.9,-1.1
566,3.85,-1.75
567,3.8,-2.4
568,3.95,-2.65
569,4.1,-2.9
570,4.5,-2.35
571,4.9,-1.8
572,5.1,-1.2
573,5.3,-0.6
574,5.2,-0.05
575,5.1,0.5
576,4.8,1.0
577,4.5,1.5
578,4.7,1.8
579,4.9,2.1
580,3.85,1.75
581,2.8,1.4
582,2.35,0.9
583,1.9,0.4
584,1.8,0.6
585,1.7,0.8
586,1.8,0.5
587,1.9,0.2
588,1.4,-0.1
589,0.9,-0.4
590,1.55,-0.6
591,2.2,-0.8
592,2.25,-1.3
593,2.3,-1.8
594,2.45,-1.95
595,2.6,-2.1
596,2.75,-1.8
597,2.9,-1.5
598,3.1,-1.0
599,3.3,-0.5
600,3.4,-0.4
601,3.5,-0.3
602,4.1,-0.4
603,4.7,-0.5
604,3.85,-1.25
605,3.0,-2.0
606,3.15,-2.35
607,3.3,-2.7
608,3.0,-2.8
609,2.7,-2.9
610,2.25,-2.75
611,1.8,-2.6
612,1.5,-2.25
613,1.2,-1.9
614,1.65,-2.2
615,2.1,-2.5
616,2.0,-2.45
617,1.9,-2.4
618,1.45,-1.75
619,1.0,-1.1
620,1.1,-1.0
621,1.2,-0.9
622,1.1,-0.95
623,1.0,-1.0
624,1.15,-0.95
625,1.3,-0.9
626,1.5,-1.45
627,1.7,-2.0
628,1.85,-2.0
629,2.0,-2.0
630,1.8,-2.15
631,1.6,-2.3
632,1.35,-2.55
633,1.1,-2.8
634,1.2,-3.0
635,1.3,-3.2
636,1.25,-3.1
637,1.2,-3.0
638,1.1,-3.1
639,1.0,-3.2
640,1.05,-3.1
641,1.1,-3.0
642,1.45,-3.05
643,1.8,-3.1
644,1.7,-2.1
645,1.6,-1.1
646,2.25,-0.95
647,2.9,-0.8
648,3.4,-0.6
649,3.9,-0.4
650,4.15,-0.7
651,4.4,-1.0
652,4.15,-1.3
653,3.9,-1.6
654,4.0,-1.5
655,4.1,-1.4
656,4.25,-1.3
657,4.4,-1.2
658,4.25,-0.95
659,4.1,-0.7
660,4.2,-0.35
661,4.3,0.0
662,4.45,0.1
663,4.6,0.2
664,4.55,0.35
665,4.5,0.5
666,4.55,0.75
667,4.6,1.0
668,4.65,1.5
669,4.7,2.0
670,5.0,2.55
671,5.3,3.1
672,5.75,3.8
673,6.2,4.5
674,6.6,4.3
675,7.0,4.1
676,6.8,3.05
677,6.6,2.0
678,6.4,1.35
679,6.2,0.7
680,6.45,0.2
681,6.7,-0.3
682,6.6,-0.5
683,6.5,-0.7
684,6.3,-0.85
685,6.1,-1.0
686,6.05,-1.1
687,6.0,-1.2
688,6.0,-1.35
689,6.0,-1.5
690,5.75,-1.65
691,5.5,-1.8
692,5.75,-1.75
693,6.0,-1.7
694,6.0,-1.25
695,6.0,-0.8
696,6.15,-0.95
697,6.3,-1.1
698,6.4,-1.35
699,6.5,-1.6
700,5.6,-0.25
701,4.7,1.1
702,4.5,1.5
703,4.3,1.9
704,4.35,1.75
705,4.4,1.6
706,4.7,2.05
707,5.0,2.5
708,5.6,3.05
709,6.2,3.6
710,6.3,3.55
711,6.4,3.5
712,6.15,2.9
713,5.9,2.3
714,5.9,1.75
715,5.9,1.2
716,5.7,0.85
717,5.5,0.5
718,5.25,-0.1
719,5.0,-0.7
720,4.85,-0.65
721,4.7,-0.6
722,4.45,-0.85
723,4.2,-1.1
724,3.95,-1.15
725,3.7,-1.2
726,3.75,-1.4
727,3.8,-1.6
728,3.5,-2.3
729,3.2,-3.0
730,2.95,-2.85
731,2.7,-2.7
732,2.45,-2.75
733,2.2,-2.8
734,2.15,-3.0
735,2.1,-3.2
736,2.15,-3.35
737,2.2,-3.5
738,2.05,-3.25
739,1.9,-3.0
740,1.75,-2.7
741,1.6,-2.4
742,2.0,-2.7
743,2.4,-3.0
744,2.65,-2.6
745,2.9,-2.2
746,2.95,-2.75
747,3.0,-3.3
748,2.85,-3.1
749,2.7,-2.9
750,2.7,-3.05
751,2.7,-3.2
752,1.8,-2.1
753,0.9,-1.0
754,1.05,-1.15
755,1.2,-1.3
756,1.15,-1.2
757,1.1,-1.1
758,1.15,-1.25
759,1.2,-1.4
760,1.2,-1.15
761,1.2,-0.9
762,1.35,-0.85
763,1.5,-0.8
764,1.5,-0.8
765,1.5,-0.8
766,1.5,-0.8
767,1.5,-0.8
768,1.45,-0.7
769,1.4,-0.6
770,1.5,-0.75
771,1.6,-0.9
772,1.55,-0.75
773,1.5,-0.6
774,1.4,-0.55
775,1.3,-0.5
776,1.65,-0.45
777,2.0,-0.4
778,1.8,-0.15
779,1.6,0.1
780,1.75,0.15
781,1.9,0.2
782,1.8,0.1
783,1.7,0.0
784,1.55,-0.05
785,1.4,-0.1
786,1.35,-0.1
787,1.3,-0.1
788,1.7,0.0
789,2.1,0.1
790,2.5,0.25
791,2.9,0.4
792,2.95,0.3
793,3.0,0.2
794,2.85,0.1
795,2.7,0.0
796,2.9,0.05
797,3.1,0.1
798,3.0,0.05
799,2.9,0.0
800,2.5,-0.1
801,2.1,-0.2
802,1.65,-0.85
803,1.2,-1.5
804,0.65,-1.4
805,0.1,-1.3
806,0.0,-1.15
807,-0.1,-1.0
808,-0.45,-1.25
809,-0.8,-1.5
810,-1.1,-1.8
811,-1.4,-2.1
812,-1.45,-2.1
813,-1.5,-2.1
814,-1.55,-2.15
815,-1.6,-2.2
816,-1.05,-1.9
817,-0.5,-1.6
818,-0.7,-1.85
819,-0.9,-2.1
820,-0.55,-1.9
821,-0.2,-1.7
822,-0.45,-1.9
823,-0.7,-2.1
824,0.15,-1.5
825,1.0,-0.9
826,1.05,-0.9
827,1.1,-0.9
828,1.1,-0.35
829,1.1,0.2
830,1.5,0.45
831,1.9,0.7
832,2.5,0.7
833,3.1,0.7
834,3.55,-0.25
835,4.0,-1.2
836,3.95,-2.15
837,3.9,-3.1
838,3.85,-2.8
839,3.8,-2.5
840,3.95,-2.7
841,4.1,-2.9
842,4.1,-3.2
843,4.1,-3.5
844,3.95,-4.15
845,3.8,-4.8
846,3.75,-4.4
847,3.7,-4.0
848,3.55,-3.65
849,3.4,-3.3
850,3.0,-3.5
851,2.6,-3.7
852,2.45,-4.1
853,2.3,-4.5
854,2.2,-4.55
855,2.1,-4.6
856,1.15,-4.8
857,0.2,-5.0
858,-0.25,-4.9
859,-0.7,-4.8
860,-0.25,-4.6
861,0.2,-4.4
862,0.7,-4.15
863,1.2,-3.9
864,1.4,-3.4
865,1.6,-2.9
866,2.1,-2.45
867,2.6,-2.0
868,2.7,-2.25
869,2.8,-2.5
870,2.05,-2.85
871,1.3,-3.2
872,0.35,-3.2
873,-0.6,-3.2
874,-1.4,-3.5
875,-2.2,-3.8
876,-2.4,-3.8
877,-2.6,-3.8
878,-2.55,-3.65
879,-2.5,-3.5
880,-2.45,-3.55
881,-2.4,-3.6
882,-2.55,-3.9
883,-2.7,-4.2
884,-2.4,-3.85
885,-2.1,-3.5
886,-0.85,-3.7
887,0.4,-3.9
888,1.35,-3.85
889,2.3,-3.8
890,1.6,-3.7
891,0.9,-3.6
892,1.1,-3.8
893,1.3,-4.0
894,1.45,-3.55
895,1.6,-3.1
896,0.25,-3.45
897,-1.1,-3.8
898,-1.6,-3.65
899,-2.1,-3.5
900,-2.55,-3.75
901,-3.0,-4.0
902,-2.95,-3.8
903,-2.9,-3.6
904,-2.8,-3.4
905,-2.7,-3.2
906,-2.8,-3.3
907,-2.9,-3.4
908,-3.0,-3.55
909,-3.1,-3.7
910,-3.15,-3.75
911,-3.2,-3.8
912,-3.2,-3.75
913,-3.2,-3.7
914,-2.65,-3.15
915,-2.1,-2.6
916,-1.7,-2.45
917,-1.3,-2.3
918,-1.1,-2.4
919,-0.9,-2.5
920,-0.75,-2.45
921,-0.6,-2.4
922,-0.65,-2.3
923,-0.7,-2.2
924,-0.75,-2.15
925,-0.8,-2.1
926,-1.2,-2.4
927,-1.6,-2.7
928,-1.6,-2.7
929,-1.6,-2.7
930,-1.8,-2.75
931,-2.0,-2.8
932,-1.6,-2.4
933,-1.2,-2.0
934,-0.7,-1.7
935,-0.2,-1.4
936,0.35,-1.45
937,0.9,-1.5
938,0.95,-1.7
939,1.0,-1.9
940,1.1,-1.9
941,1.2,-1.9
942,1.35,-2.15
943,1.5,-2.4
944,1.1,-2.4
945,0.7,-2.4
946,0.65,-2.55
947,0.6,-2.7
948,0.7,-2.7
949,0.8,-2.7
950,0.9,-2.75
951,1.0,-2.8
952,0.8,-3.0
953,0.6,-3.2
954,0.5,-3.25
955,0.4,-3.3
956,-0.05,-3.4
957,-0.5,-3.5
958,-0.2,-3.45
959,0.1,-3.4
960,-0.15,-3.5
961,-0.4,-3.6
962,-0.4,-3.3
963,-0.4,-3.0
964,-0.85,-3.3
965,-1.3,-3.6
966,-1.1,-3.65
967,-0.9,-3.7
968,-1.4,-4.0
969,-1.9,-4.3
970,-2.2,-4.15
971,-2.5,-4.0
972,-2.25,-3.8
973,-2.0,-3.6
974,-2.25,-3.8
975,-2.5,-4.0
976,-2.3,-3.7
977,-2.1,-3.4
978,-1.9,-3.3
979,-1.7,-3.2
980,-1.45,-2.9
981,-1.2,-2.6
982,-0.15,-2.0
983,0.9,-1.4
984,1.15,-1.25
985,1.4,-1.1
986,1.95,-1.3
987,2.5,-1.5
988,2.55,-1.15
989,2.6,-0.8
990,2.8,-1.2
991,3.0,-1.6
992,2.95,-1.5
993,2.9,-1.4
994,3.0,-1.3
995,3.1,-1.2
996,3.05,-1.0
997,3.0,-0.8
998,2.9,-0.75
999,2.8,-0.7
1000,2.65,-0.65
1001,2.5,-0.6
1002,2.45,-0.45
1003,2.4,-0.3
1004,2.45,-0.3
1005,2.5,-0.3
1006,2.2,-0.25
1007,1.9,-0.2
1008,1.6,-0.35
1009,1.3,-0.5
1010,0.55,-0.95
1011,-0.2,-1.4
1012,-0.15,-1.15
1013,-0.1,-0.9
1014,0.1,-0.65
1015,0.3,-0.4
1016,0.6,-0.3
1017,0.9,-0.2
1018,0.85,-0.3
1019,0.8,-0.4
1020,1.05,-0.25
1021,1.3,-0.1
1022,1.15,-0.3
1023,1.0,-0.5
1024,0.95,-0.5
1025,0.9,-0.5
1026,0.9,-0.5
1027,0.9,-0.5
1028,1.35,-0.45
1029,1.8,-0.4
1030,2.1,-0.5
1031,2.4,-0.6
1032,2.85,-0.6
1033,3.3,-0.6
1034,3.5,-0.55
1035,3.7,-0.5
1036,4.05,-0.3
1037,4.4,-0.1
1038,4.1,-0.55
1039,3.8,-1.0
1040,3.5,-1.2
1041,3.2,-1.4
1042,2.7,-1.2
1043,2.2,-1.0
1044,2.5,-0.95
1045,2.8,-0.9
1046,2.95,-0.75
1047,3.1,-0.6
1048,3.25,-0.5
1049,3.4,-0.4
1050,3.45,-0.35
1051,3.5,-0.3
1052,3.25,-0.25
1053,3.0,-0.2
1054,3.2,-0.1
1055,3.4,0.0
1056,3.35,0.05
1057,3.3,0.1
1058,3.45,0.3
1059,3.6,0.5
1060,3.75,0.75
1061,3.9,1.0
1062,4.1,1.2
1063,4.3,1.4
1064,4.5,1.45
1065,4.7,1.5
1066,4.55,1.3
1067,4.4,1.1
1068,4.5,1.25
1069,4.6,1.4
1070,5.0,1.15
1071,5.4,0.9
1072,5.35,1.2
1073,5.3,1.5
1074,5.7,1.95
1075,6.1,2.4
1076,6.35,2.6
1077,6.6,2.8
1078,6.7,3.35
1079,6.8,3.9
1080,7.15,4.05
1081,7.5,4.2
1082,7.85,4.55
1083,8.2,4.9
1084,8.25,5.15
1085,8.3,5.4
1086,8.5,5.45
1087,8.7,5.5
1088,8.4,6.05
1089,8.1,6.6
1090,7.4,5.9
1091,6.7,5.2
1092,6.4,4.8
1093,6.1,4.4
1094,5.95,4.0
1095,5.8,3.6
1096,5.4,2.75
1097,5.0,1.9
1098,4.65,1.55
1099,4.3,1.2
1100,4.1,1.1
1101,3.9,1.0
1102,3.35,0.75
1103,2.8,0.5
1104,2.7,0.3
1105,2.6,0.1
1106,2.45,-0.1
1107,2.3,-0.3
1108,2.25,-0.35
1109,2.2,-0.4
1110,2.15,-0.7
1111,2.1,-1.0
1112,2.0,-0.85
1113,1.9,-0.7
1114,1.95,-0.3
1115,2.0,0.1
1116,2.2,-0.25
1117,2.4,-0.6
1118,2.3,-0.7
1119,2.2,-0.8
1120,1.95,-0.75
1121,1.7,-0.7
1122,2.15,-0.7
1123,2.6,-0.7
1124,2.7,-0.55
1125,2.8,-0.4
1126,3.25,-0.2
1127,3.7,0.0
1128,4.45,0.0
1129,5.2,0.0
1130,5.3,0.25
1131,5.4,0.5
1132,5.5,0.6
1133,5.6,0.7
1134,6.05,0.9
1135,6.5,1.1
1136,5.85,1.05
1137,5.2,1.0
1138,5.15,1.15
1139,5.1,1.3
1140,5.1,1.35
1141,5.1,1.4
1142,5.2,1.65
1143,5.3,1.9
1144,5.25,1.65
1145,5.2,1.4
1146,5.3,1.75
1147,5.4,2.1
1148,5.55,2.15
1149,5.7,2.2
1150,5.65,2.35
1151,5.6,2.5
1152,5.65,2.5
1153,5.7,2.5
1154,5.75,2.3
1155,5.8,2.1
1156,5.8,2.05
1157,5.8,2.0
1158,5.8,1.95
1159,5.8,1.9
1160,6.0,2.0
1161,6.2,2.1
1162,6.15,2.25
1163,6.1,2.4
1164,6.2,2.5
1165,6.3,2.6
1166,6.55,2.75
1167,6.8,2.9
1168,6.8,3.3
1169,6.8,3.7
1170,7.1,4.05
1171,7.4,4.4
1172,7.75,4.8
1173,8.1,5.2
1174,8.2,5.3
1175,8.3,5.4
1176,8.75,5.65
1177,9.2,5.9
1178,9.65,6.25
1179,10.1,6.6
1180,10.0,6.85
1181,9.9,7.1
1182,9.9,7.1
1183,9.9,7.1
1184,10.05,7.15
1185,10.2,7.2
1186,10.35,7.3
1187,10.5,7.4
1188,10.5,7.35
1189,10.5,7.3
1190,10.2,7.8
1191,9.9,8.3
1192,9.9,8.4
1193,9.9,8.5
1194,9.35,7.2
1195,8.8,5.9
1196,8.7,5.75
1197,8.6,5.6
1198,8.4,5.3
1199,8.2,5.0
1200,8.15,5.3
1201,8.1,5.6
1202,8.1,5.35
1203,8.1,5.1
1204,7.6,4.6
1205,7.1,4.1
1206,6.9,3.85
1207,6.7,3.6
1208,6.5,3.25
1209,6.3,2.9
1210,6.05,2.4
1211,5.8,1.9
1212,5.6,1.8
1213,5.4,1.7
1214,5.3,1.55
1215,5.2,1.4
1216,5.15,1.3
1217,5.1,1.2
1218,5.1,1.2
1219,5.1,1.2
1220,5.25,1.15
1221,5.4,1.1
1222,5.7,1.05
1223,6.0,1.0
1224,6.0,1.15
1225,6.0,1.3
1226,6.35,1.3
1227,6.7,1.3
1228,6.5,0.5
1229,6.3,-0.3
1230,6.3,0.05
1231,6.3,0.4
1232,5.85,0.4
1233,5.4,0.4
1234,5.35,0.15
1235,5.3,-0.1
1236,4.95,0.2
1237,4.6,0.5
1238,4.95,0.5
1239,5.3,0.5
1240,5.15,0.5
1241,5.0,0.5
1242,4.85,0.65
1243,4.7,0.8
1244,4.7,0.9
1245,4.7,1.0
1246,4.65,1.2
1247,4.6,1.4
1248,4.85,1.7
1249,5.1,2.0
1250,5.25,2.15
1251,5.4,2.3
1252,5.75,2.5
1253,6.1,2.7
1254,6.15,3.05
1255,6.2,3.4
1256,6.35,3.7
1257,6.5,4.0
1258,6.6,4.0
1259,6.7,4.0
1260,6.75,4.15
1261,6.8,4.3
1262,6.85,4.4
1263,6.9,4.5
1264,6.7,4.5
1265,6.5,4.5
1266,6.65,4.7
1267,6.8,4.9
1268,7.2,4.9
1269,7.6,4.9
1270,7.8,4.85
1271,8.0,4.8
1272,8.25,4.7
1273,8.5,4.6
1274,8.5,4.55
1275,8.5,4.5
1276,8.45,4.6
1277,8.4,4.7
1278,8.15,4.95
1279,7.9,5.2
1280,7.6,5.25
1281,7.3,5.3
1282,7.3,5.05
1283,7.3,4.8
1284,7.1,4.45
1285,6.9,4.1
1286,6.95,4.0
1287,7.0,3.9
1288,6.9,3.95
1289,6.8,4.0
1290,6.85,3.9
1291,6.9,3.8
1292,7.0,3.75
1293,7.1,3.7
1294,7.2,3.9
1295,7.3,4.1
1296,7.6,4.4
1297,7.9,4.7
1298,7.9,4.8
1299,7.9,4.9
1300,7.95,5.05
1301,8.0,5.2
1302,8.1,5.45
1303,8.2,5.7
