src_id,station_name,station_file_name,historic_county,station_latitude,station_longitude,station_elevation,first_year,last_year
76,FORTROSE,fortrose,ross-and-cromarty,57.574,-4.093,5,1926,1995
77,INVERGORDON HARBOUR,invergordon-harbour,ross-and-cromarty,57.687,-4.167,3,1989,2001
78,INVERGORDON,invergordon,ross-and-cromarty,57.703,-4.158,15,1979,1982
79,TAIN RANGE,tain-range,ross-and-cromarty,57.819,-3.967,4,1994,2019
80,TARBATNESS,tarbatness,ross-and-cromarty,57.865,-3.776,18,1968,1985
81,ST KILDA,st-kilda,western-isles,57.812,-8.564,30,1982,1988
82,BARRA (W I),barra-w-i,western-isles,57.025,-7.449,3,1997,2007
83,LOCHBOISDALE,lochboisdale,western-isles,57.155,-7.316,6,1990,2003
84,BENBECULA AIRPORT,benbecula-airport,western-isles,57.475,-7.371,6,1957,1996
85,SCALPAY,scalpay,western-isles,57.872,-6.699,18,1979,1995
86,NEIST POINT,neist-point,inverness-shire,57.423,-6.788,21,1983,1989
87,WATERSTEIN,waterstein,inverness-shire,57.436,-6.769,83,1990,2004
89,RHUM: KINLOCH,rhum-kinloch,inverness-shire,57.014,-6.282,5,1959,2009
90,SKYE: PRABOST,skye-prabost,inverness-shire,57.467,-6.305,67,1959,1989
92,INVERAILORT,inverailort,inverness-shire,56.872,-5.67,2,1982,2015
93,HEASTE,heaste,inverness-shire,57.189,-5.894,100,1974,1984
94,BROADFORD:ISLE OF SKYE,broadford-isle-of-skye,inverness-shire,57.239,-5.895,8,1988,1991
95,EILANREACH,eilanreach,inverness-shire,57.199,-5.63,8,1982,2004
96,ONICH,onich,inverness-shire,56.72,-5.224,15,1926,1995
97,FORT WILLIAM NO 4,fort-william-no-4,inverness-shire,56.829,-5.076,20,1984,1993
98,FORT WILLIAM,fort-william,inverness-shire,56.809,-5.125,11,1959,1960
99,FORT WILLIAM NO 3,fort-william-no-3,inverness-shire,56.837,-5.078,8,1960,1971
101,CORPACH,corpach,inverness-shire,56.839,-5.149,8,1967,1980
102,KILTARLITY,kiltarlity,inverness-shire,57.427,-4.497,75,1985,2011
103,AONACH MOR,aonach-mor,inverness-shire,56.822,-4.969,1130,1992,2019
104,LOCH OICH,loch-oich,inverness-shire,57.044,-4.799,37,1975,1977
105,TULLOCH BRIDGE,tulloch-bridge,inverness-shire,56.867,-4.708,249,1990,2019
107,FORT AUGUSTUS,fort-augustus,inverness-shire,57.144,-4.677,21,1914,1997
109,CANNICH,cannich,inverness-shire,57.292,-4.828,107,1959,1967
110,LENTRAN,lentran,inverness-shire,57.459,-4.373,146,1975,2019
111,DALWHINNIE NO 2,dalwhinnie-no-2,inverness-shire,56.94,-4.238,351,1973,2019
112,LAGGANLIA,lagganlia,inverness-shire,57.111,-3.891,250,1971,1987
113,AVIEMORE,aviemore,inverness-shire,57.206,-3.828,228,1982,2019
114,DRUMNADROCHIT,drumnadrochit,inverness-shire,57.328,-4.486,53,1990,2019
115,INVERNESS,inverness,inverness-shire,57.486,-4.222,4,1957,2015
116,DALCROSS,dalcross,inverness-shire,57.542,-4.062,11,1977,1994
117,CAIRNGORM SUMMIT,cairngorm-summit,inverness-shire,57.116,-3.643,1237,1992,2019
118,CAIRNGORM CHAIRLIFT,cairngorm-chairlift,inverness-shire,57.133,-3.669,663,1980,2019
121,ACHNAGOICHAN,achnagoichan,inverness-shire,57.152,-3.798,305,1960,1975
122,GLENMORE LODGE,glenmore-lodge,inverness-shire,57.164,-3.678,337,1961,1980
123,TOMATIN,tomatin,inverness-shire,57.339,-4.007,311,1973,1992
124,MOY,moy,inverness-shire,57.381,-4.056,305,1969,1971
125,"TOMATIN, FREEBURN",tomatin-freeburn,inverness-shire,57.345,-4.003,290,1993,2002
126,NAIRN,nairn,nairnshire,57.587,-3.893,8,1931,1998
127,FORRES NO 2,forres-no-2,moray-in-grampian-region,57.615,-3.61,5,1976,2002
128,"GRANTOWN-ON-SPEY, GRAMMAR SCHOOL",grantown-on-spey-grammar-school,moray-in-highland-region,57.334,-3.6,218,1993,2000
129,"GRANTOWN-ON-SPEY, MONIACK",grantown-on-spey-moniack,moray-in-highland-region,57.327,-3.616,219,1959,1962
130,GRANTOWN-ON-SPEY,grantown-on-spey,moray-in-highland-region,57.335,-3.606,220,1966,2007
131,FORRES,forres,moray-in-grampian-region,57.608,-3.597,50,1959,1976
132,KINLOSS,kinloss,moray-in-grampian-region,57.645,-3.563,5,1957,2019
133,ALDROUGHTY,aldroughty,moray-in-grampian-region,57.645,-3.379,30,1982,2000
134,ROTHES,rothes,moray-in-grampian-region,57.532,-3.196,61,1982,1995
135,ELGIN,elgin,moray-in-grampian-region,57.639,-3.298,28,1959,1965
136,ELGIN NO 2,elgin-no-2,moray-in-grampian-region,57.65,-3.293,15,1965,1982
137,LOSSIEMOUTH,lossiemouth,moray-in-grampian-region,57.711,-3.323,7,1959,2019
138,GORDON CASTLE,gordon-castle,banffshire,57.621,-3.09,32,1879,1975
139,CLASHNOIR,clashnoir,banffshire,57.282,-3.287,338,1977,1981
140,GLENLIVET,glenlivet,banffshire,57.354,-3.345,213,1957,2008
141,KEITH,keith,banffshire,57.553,-2.949,106,1973,1996
142,"BANFF, GOLF CLUB",banff-golf-club,banffshire,57.661,-2.521,15,1989,2019
143,BANFF NO 2,banff-no-2,banffshire,57.671,-2.523,24,1960,1988
144,"CORGARFF, CASTLE LODGE",corgarff-castle-lodge,aberdeenshire,57.165,-3.23,400,1994,2002
145,CAIRNWELL,cairnwell,aberdeenshire,56.879,-3.421,928,1994,2019
147,BRAEMAR,braemar,aberdeenshire,57.006,-3.398,339,1857,2005
148,BALMORAL,balmoral,aberdeenshire,57.037,-3.22,283,1918,2019
149,BALLATER FIELD CENTRE,ballater-field-centre,aberdeenshire,57.047,-3.043,200,1989,1999
150,ABOYNE NO 2,aboyne-no-2,aberdeenshire,57.076,-2.841,140,1994,2019
151,DINNET,dinnet,aberdeenshire,57.109,-2.916,177,1962,1982
152,LOGIE COLDSTONE,logie-coldstone,aberdeenshire,57.127,-2.937,185,1959,1962
153,FINZEAN,finzean,kincardineshire,57.016,-2.67,133,1982,1988
154,ALFORD NO 2,alford-no-2,aberdeenshire,57.24,-2.686,137,1982,1983
155,LEITH HALL,leith-hall,aberdeenshire,57.356,-2.766,180,1987,2000
156,GARTLY,gartly,aberdeenshire,57.379,-2.795,146,1968,1987
157,HUNTLY,huntly,aberdeenshire,57.45,-2.786,122,1959,1966
158,INVERURIE NO 2,inverurie-no-2,aberdeenshire,57.274,-2.368,54,1967,1992
159,FYVIE CASTLE,fyvie-castle,aberdeenshire,57.443,-2.39,55,1959,2019
160,CRAIBSTONE,craibstone,aberdeenshire,57.187,-2.215,102,1931,2019
161,DYCE,dyce,aberdeenshire,57.205,-2.205,65,1957,2019
163,"ABERDEEN, MANNOFIELD RESR",aberdeen-mannofield-resr,aberdeenshire,57.128,-2.14,52,1959,2008
164,HILTON (ABERDEENSHIRE),hilton-aberdeenshire,aberdeenshire,57.165,-2.129,70,1963,1965
165,UDNY,udny,aberdeenshire,57.299,-2.158,107,1960,1968
166,FRASERBURGH,fraserburgh,aberdeenshire,57.697,-2.003,18,1967,1987
167,CULTERTY NO 2,culterty-no-2,aberdeenshire,57.325,-2.003,3,1974,1999
168,FOREHILL,forehill,aberdeenshire,57.506,-1.844,41,1977,2010
169,RATTRAY HEAD,rattray-head,aberdeenshire,57.614,-1.846,26,1957,1968
173,INCHMARLO,inchmarlo,kincardineshire,57.06,-2.542,80,1990,2005
174,STRACHAN,strachan,kincardineshire,57.015,-2.502,120,1962,1972
175,BANCHORY,banchory,kincardineshire,57.053,-2.509,94,1967,1982
176,DURRIS,durris,kincardineshire,57.032,-2.404,107,1988,2019
177,INVERBERVIE NO 2,inverbervie-no-2,kincardineshire,56.852,-2.266,134,1992,2019
178,STONEHAVEN,stonehaven,kincardineshire,56.969,-2.207,4,1959,1985
179,STONEHAVEN NO 2,stonehaven-no-2,kincardineshire,56.946,-2.212,85,1985,2000
180,MUCHALLS,muchalls,kincardineshire,57.018,-2.17,64,1959,1966
181,MYLNEFIELD,mylnefield,angus,56.457,-3.073,31,1954,2019
182,AUCHTERHOUSE,auchterhouse,angus,56.538,-3.063,232,1959,1965
183,DUNDEE,dundee,angus,56.47,-2.94,45,1959,1996
184,GLAMIS CASTLE NO 2,glamis-castle-no-2,angus,56.625,-3,62,1959,1973
185,FORFAR NO 3,forfar-no-3,angus,56.683,-2.929,91,1985,1994
186,FORFAR NO 2,forfar-no-2,angus,56.657,-2.775,67,1981,1983
187,WHITEHILLOCKS,whitehillocks,angus,56.906,-2.907,258,1962,2013
188,BUDDON NESS,buddon-ness,angus,56.468,-2.75,5,1959,1973
189,CARNOUSTIE NO 2,carnoustie-no-2,angus,56.507,-2.725,27,1959,1977
191,ARBROATH,arbroath,angus,56.561,-2.573,29,1914,1994
192,USAN,usan,angus,56.681,-2.452,47,1965,1979
193,MONTROSE,montrose,angus,56.746,-2.481,55,1959,1992
194,CRIANLARICH,crianlarich,perthshire-in-central-region,56.419,-4.659,174,1975,1975
195,TYNDRUM NO 3,tyndrum-no-3,perthshire-in-central-region,56.419,-4.661,168,1990,2019
196,LOCH RANNOCH POWER HOUSE,loch-rannoch-power-house,perthshire-in-tayside-region,56.693,-4.401,206,1999,2005
197,ABERFOYLE,aberfoyle,perthshire-in-central-region,56.174,-4.369,28,1968,2001
16579,BOULTENSTONE OUTDOOR CENTRE,boultenstone-outdoor-centre,aberdeenshire,57.185,-2.976,300,1995,1999
199,LOCH VENACHAR,loch-venachar,perthshire-in-central-region,56.23,-4.263,84,1982,2006
200,STRATHYRE,strathyre,perthshire-in-central-region,56.321,-4.328,130,1959,1967
201,BALQUHIDDER NO 2,balquhidder-no-2,perthshire-in-central-region,56.355,-4.397,136,1982,1992
202,KILLIN,killin,perthshire-in-central-region,56.484,-4.363,116,1984,1989
203,CALLANDER,callander,perthshire-in-central-region,56.242,-4.217,70,1960,1965
204,CALLANDER NO 2,callander-no-2,perthshire-in-central-region,56.245,-4.206,107,1968,1982
205,ARDTALNAIG,ardtalnaig,perthshire-in-tayside-region,56.528,-4.112,130,1959,2017
208,DRUMMOND CASTLE,drummond-castle,perthshire-in-tayside-region,56.338,-3.877,113,1970,2019
209,TUMMEL BRIDGE,tummel-bridge,perthshire-in-tayside-region,56.706,-4.011,148,1984,1992
211,GLENEAGLES,gleneagles,perthshire-in-tayside-region,56.281,-3.749,152,1964,1976
212,STRATHALLAN AIRFIELD,strathallan-airfield,perthshire-in-tayside-region,56.326,-3.729,35,1994,2019
213,PITLOCHRY,pitlochry,perthshire-in-tayside-region,56.709,-3.725,144,1959,1975
214,FASKALLY,faskally,perthshire-in-tayside-region,56.718,-3.77,94,1953,2019
215,FEALAR LODGE,fealar-lodge,perthshire-in-tayside-region,56.901,-3.629,560,1987,1996
216,DUNNING,dunning,perthshire-in-tayside-region,56.308,-3.574,76,1960,1965
217,PERTH CREMATORIUM,perth-crematorium,perthshire-in-tayside-region,56.412,-3.478,30,1980,1982
218,ASHINTULLY CASTLE,ashintully-castle,perthshire-in-tayside-region,56.735,-3.471,341,1967,1976
219,KINDROGAN,kindrogan,perthshire-in-tayside-region,56.748,-3.547,259,1972,2019
220,STRATHALLAN SCHOOL,strathallan-school,perthshire-in-tayside-region,56.35,-3.474,41,1968,2007
221,PERTH,perth,perthshire-in-tayside-region,56.399,-3.458,23,1959,1979
222,INVERALMOND,inveralmond,perthshire-in-tayside-region,56.416,-3.462,8,1963,1967
223,PERTH AERODROME,perth-aerodrome,perthshire-in-tayside-region,56.437,-3.372,118,1982,2000
224,BLAIRGOWRIE,blairgowrie,perthshire-in-tayside-region,56.579,-3.345,70,1960,1977
225,GLENSHEE LODGE,glenshee-lodge,perthshire-in-tayside-region,56.799,-3.421,335,1959,1967
226,KINROSS,kinross,kinross-shire,56.214,-3.413,116,1967,2019
227,PITREAVIE NO 2,pitreavie-no-2,fife,56.048,-3.419,40,1961,1985
228,BRAEFOOT BAY,braefoot-bay,fife,56.043,-3.32,43,1986,2008
230,KIRKCALDY,kirkcaldy,fife,56.108,-3.179,32,1959,1976
231,"GLENROTHES, GLENWOOD",glenrothes-glenwood,fife,56.197,-3.21,117,1972,1978
232,"CUPAR, ELMWOOD AG COLLEGE",cupar-elmwood-ag-college,fife,56.319,-3.032,42,1973,2018
233,"CUPAR, SUGAR FACTORY",cupar-sugar-factory,fife,56.325,-2.991,25,1959,1972
234,LUNDIN LINKS,lundin-links,fife,56.21,-2.958,9,1959,1962
235,LEUCHARS,leuchars,fife,56.377,-2.862,10,1921,2019
237,BELLISTON,belliston,fife,56.239,-2.796,82,1972,2017
238,ST ANDREWS,st-andrews,fife,56.34,-2.806,18,1959,1984
239,FIFE NESS,fife-ness,fife,56.279,-2.586,12,1984,2007
240,BLACKBURN S WKS,blackburn-s-wks,west-lothian-in-lothian-region,55.872,-3.589,131,1971,1978
241,LIVINGSTON NO 2,livingston-no-2,west-lothian-in-lothian-region,55.877,-3.544,125,1969,1995
244,BALERNO,balerno,midlothian-in-lothian-region,55.871,-3.365,213,1959,1966
245,MIDCALDER,midcalder,midlothian-in-lothian-region,55.892,-3.516,122,1959,1962
246,TURNHOUSE,turnhouse,midlothian-in-lothian-region,55.951,-3.348,35,1957,1999
247,"EDINBURGH, EAST CRAIGS",edinburgh-east-craigs,midlothian-in-lothian-region,55.948,-3.307,61,1959,2006
248,DAVIDSONS MAINS,davidsons-mains,midlothian-in-lothian-region,55.968,-3.285,61,1959,1970
249,PENICUIK,penicuik,midlothian-in-lothian-region,55.823,-3.228,185,1946,2019
250,BUSH HOUSE,bush-house,midlothian-in-lothian-region,55.86,-3.208,184,1959,1999
251,"EDINBURGH, BLACKFORD HILL",edinburgh-blackford-hill,midlothian-in-lothian-region,55.923,-3.191,134,1896,2003
252,LIBERTON,liberton,midlothian-in-lothian-region,55.922,-3.165,58,1959,1964
253,"EDINBURGH, ROYAL BOTANIC GARDEN NO 2",edinburgh-royal-botanic-garden-no-2,midlothian-in-lothian-region,55.967,-3.212,28,1939,2019
254,MIDDLETON CAMP,middleton-camp,midlothian-in-lothian-region,55.813,-3.01,225,1974,1974
255,ROSLIN,roslin,midlothian-in-lothian-region,55.86,-3.163,152,1972,1980
257,PATHHEAD,pathhead,east-lothian,55.885,-2.94,131,1975,1989
258,HADDINGTON NO 2,haddington-no-2,east-lothian,55.953,-2.781,49,1972,1972
259,NORTH BERWICK NO 2,north-berwick-no-2,east-lothian,56.051,-2.724,46,1963,1963
260,NORTH BERWICK,north-berwick,east-lothian,56.058,-2.716,16,1926,1963
262,NUNRAW ABBEY,nunraw-abbey,east-lothian,55.921,-2.652,197,1971,2019
263,HADDINGTON,haddington,east-lothian,55.96,-2.751,41,1982,2001
264,DUNBAR,dunbar,east-lothian,56.004,-2.528,23,1930,2019
265,MERTOUN,mertoun,berwickshire,55.581,-2.562,69,1961,1969
266,LAUDER,lauder,berwickshire,55.73,-2.764,183,1960,1971
267,BLYTHE,blythe,berwickshire,55.737,-2.662,262,1973,2019
268,CHARTERHALL,charterhall,berwickshire,55.709,-2.385,112,1992,2019
269,MARCHMONT,marchmont,berwickshire,55.728,-2.411,152,1914,1981
270,WHITCHESTER,whitchester,berwickshire,55.823,-2.447,255,1962,1989
271,LEITHHOLM,leithholm,berwickshire,55.701,-2.339,64,1971,1978
272,ST ABBS HEAD,st-abbs-head,berwickshire,55.917,-2.139,75,1957,1992
273,STANHOPE FARM,stanhope-farm,peebleshire,55.552,-3.392,226,1959,1990
274,BLYTH BRIDGE,blyth-bridge,peebleshire,55.703,-3.368,253,1959,2006
275,WEST LINTON,west-linton,peebleshire,55.754,-3.356,244,1959,1995
276,PEEBLES,peebles,peebleshire,55.642,-3.196,197,1959,1962
278,GLENTRESS,glentress,peebleshire,55.646,-3.139,165,1959,2006
279,BOWHILL,bowhill,selkirkshire,55.541,-2.906,168,1954,2019
281,GALASHIELS,galashiels,selkirkshire,55.621,-2.828,198,1967,2010
282,WAUCHOPE,wauchope,roxburghshire,55.38,-2.653,155,1959,1976
283,BONCHESTER BRIDGE,bonchester-bridge,roxburghshire,55.396,-2.654,146,1976,1984
284,GREYCROOK,greycrook,roxburghshire,55.567,-2.637,76,1972,2004
285,CARTERHOUSE,carterhouse,roxburghshire,55.358,-2.519,308,1989,2018
286,FLOORS CASTLE,floors-castle,roxburghshire,55.603,-2.468,59,1946,2019
287,KELSO,kelso,roxburghshire,55.604,-2.421,34,1966,2004
288,SOURHOPE,sourhope,roxburghshire,55.475,-2.247,221,1959,2004
289,KIELDER CASTLE,kielder-castle,northumberland,55.234,-2.58,201,1959,2019
290,WARK,wark,northumberland,55.075,-2.393,219,1993,1998
292,BELLINGHAM,bellingham,northumberland,55.214,-2.303,258,1959,1964
293,REDESDALE,redesdale,northumberland,55.253,-2.263,235,1970,2007
295,HIGH HAYRAKE,high-hayrake,northumberland,54.825,-2.26,400,1992,1995
296,HAYDON BRIDGE NO 2,haydon-bridge-no-2,northumberland,54.976,-2.253,82,1959,2000
297,CORBRIDGE,corbridge,northumberland,54.98,-2.02,49,1961,1971
298,LANTON,lanton,northumberland,55.575,-2.117,59,1993,1996
299,LETHAMHILL FARM,lethamhill-farm,northumberland,55.644,-2.103,76,1976,1978
300,WALLINGTON,wallington,northumberland,55.154,-1.945,150,1994,2019
301,CHESWICK,cheswick,northumberland,55.71,-1.959,30,1993,2001
302,BERWICK-ON-TWEED,berwick-on-tweed,northumberland,55.769,-1.998,23,1959,1974
303,BERWICK-UPON-TWEED,berwick-upon-tweed,northumberland,55.754,-2.033,42,1994,1997
304,LONGFRAMLINGTON,longframlington,northumberland,55.301,-1.806,158,1990,2000
305,BERWICK GRAMMAR SCHOOL,berwick-grammar-school,northumberland,55.776,-2.005,41,1975,1976
307,NEWCASTLE WEATHER CENTRE,newcastle-weather-centre,tyne-and-wear,54.977,-1.598,52,1974,2005
310,"MORPETH, COCKLE PARK",morpeth-cockle-park,northumberland,55.213,-1.688,95,1897,2019
313,TYNEMOUTH,tynemouth,tyne-and-wear,55.018,-1.417,33,1957,2001
315,BOULMER,boulmer,northumberland,55.421,-1.601,23,1975,2019
316,SEAHOUSES,seahouses,northumberland,55.583,-1.654,11,1963,1979
318,WESTGATE NO 2,westgate-no-2,durham,54.741,-2.133,333,1993,2013
319,BOLTSHOPE PARK,boltshope-park,durham,54.821,-2.09,434,1994,2007
320,HAMSTERLEY NO 2,hamsterley-no-2,tyne-and-wear,54.899,-1.808,130,1993,1995
322,LOW ETHERLEY,low-etherley,durham,54.655,-1.74,162,1974,1995
323,USHAW COLLEGE,ushaw-college,durham,54.787,-1.661,181,1959,1971
324,HOUGHALL,houghall,durham,54.765,-1.562,37,1960,1977
325,HOUGHALL NO 2,houghall-no-2,durham,54.759,-1.571,49,1959,1960
326,DURHAM,durham,durham,54.768,-1.586,102,1880,2019
327,GATESHEAD,gateshead,tyne-and-wear,54.938,-1.583,155,1959,1966
329,WASHINGTON,washington,tyne-and-wear,54.895,-1.49,29,1973,1981
330,SOUTH SHIELDS,south-shields,tyne-and-wear,55.003,-1.418,5,1985,2003
331,HARTBURN GRANGE,hartburn-grange,cleveland,54.56,-1.372,31,1969,1990
332,SUNDERLAND UNIVERSITY,sunderland-university,tyne-and-wear,54.904,-1.395,70,1989,2003
333,WHITBURN,whitburn,tyne-and-wear,54.947,-1.38,28,1964,1966
336,HARTLEPOOL,hartlepool,cleveland,54.687,-1.209,9,1959,1985
337,SNAIZEHOLME,snaizeholme,north-yorkshire,54.275,-2.263,290,1974,1981
339,BAINBRIDGE,bainbridge,north-yorkshire,54.308,-2.101,210,1991,2019
340,BOWES NO 2,bowes-no-2,durham,54.509,-2.051,292,1994,1996
341,WYCLIFFE HALL,wycliffe-hall,north-yorkshire,54.521,-1.818,120,1989,2000
342,DISHFORTH AIRFIELD,dishforth-airfield,north-yorkshire,54.135,-1.414,33,1957,2016
16725,WAINFLEET NO 2,wainfleet-no-2,lincolnshire,53.088,0.271,3,1996,2019
346,LINTON ON OUSE,linton-on-ouse,north-yorkshire,54.045,-1.251,14,1984,2019
347,CARLTON-IN-CLEVELAND,carlton-in-cleveland,cleveland,54.428,-1.218,103,1991,2019
348,MARTON,marton,cleveland,54.53,-1.201,46,1969,1971
349,"YORK, HESLINGTON",york-heslington,north-yorkshire,53.953,-1.04,19,1964,1980
350,YORK,york,north-yorkshire,53.962,-1.09,17,1958,1964
351,AMPLEFORTH,ampleforth,north-yorkshire,54.202,-1.085,95,1916,1971
353,REDCAR,redcar,cleveland,54.616,-1.074,8,1959,1970
354,KIRBY MISPERTON,kirby-misperton,north-yorkshire,54.198,-0.792,22,1994,2004
24924,"DOWNPATRICK, BALLYGALLUM",downpatrick-ballygallum,down,54.294,-5.68,18,1999,2001
356,PICKERING,pickering,north-yorkshire,54.247,-0.781,44,1962,1984
357,WYKEHAM FOREST,wykeham-forest,north-yorkshire,54.281,-0.568,214,1986,1992
358,FYLINGDALES,fylingdales,north-yorkshire,54.359,-0.672,262,1984,2019
359,WHITBY,whitby,north-yorkshire,54.481,-0.626,41,1976,2019
360,SCARBOROUGH,scarborough,north-yorkshire,54.273,-0.423,110,1987,2019
361,"SCARBOROUGH, TOWN HALL",scarborough-town-hall,north-yorkshire,54.281,-0.398,36,1930,1971
362,"SCARBOROUGH, MANOR ROAD NUSERIES",scarborough-manor-road-nuseries,north-yorkshire,54.28,-0.418,52,1971,1986
363,SILPHO MOOR,silpho-moor,north-yorkshire,54.338,-0.53,203,1959,1986
364,WHITBY COASTGUARD,whitby-coastguard,north-yorkshire,54.49,-0.606,60,1961,2002
365,AUGHTON RUDDINGS,aughton-ruddings,humberside,53.847,-0.887,8,1992,1999
24938,DURNESS NO 3,durness-no-3,sutherland,58.568,-4.763,222,1999,2002
367,HIGH MOWTHORPE,high-mowthorpe,north-yorkshire,54.105,-0.643,175,1959,2019
368,DRIFFIELD,driffield,humberside,53.995,-0.47,20,1957,1959
369,HULL,hull,humberside,53.756,-0.358,2,1905,2010
370,LECONFIELD,leconfield,humberside,53.875,-0.442,7,1959,2019
372,FILEY,filey,north-yorkshire,54.205,-0.295,37,1959,1971
373,BRIDLINGTON MRSC,bridlington-mrsc,humberside,54.094,-0.176,15,1990,2019
374,BRIDLINGTON,bridlington,humberside,54.1,-0.208,48,1959,1980
375,BRIDLINGTON CEMETERY,bridlington-cemetery,humberside,54.095,-0.196,25,1982,1989
376,KILNSEA,kilnsea,humberside,53.622,0.141,12,1957,1976
377,SPURN POINT,spurn-point,humberside,53.575,0.111,6,1982,1986
379,COWDEN,cowden,humberside,53.844,-0.103,15,1995,1998
